,SB
222,0.09629303961992264
223,0.04240487515926361
224,0.10154096782207489
225,0.001948772231116891
226,0.025918466970324516
227,0.013430540449917316
228,0.0019548796117305756
229,0.000584235938731581
230,0.09906328469514847
231,0.0036919740960001945
232,0.006196659058332443
233,0.35535967350006104
234,0.10858047008514404
235,0.0489128939807415
236,0.012084558606147766
237,0.004837891086935997
238,0.00011952473869314417
239,0.13134470582008362
240,0.05048459395766258
241,0.0021309764124453068
242,0.0003221749793738127
243,0.37067797780036926
244,0.45145389437675476
245,0.008640880696475506
246,0.18135036528110504
247,0.015503079630434513
248,0.028483368456363678
249,0.00013636492076329887
250,0.004796478431671858
251,0.18466319143772125
252,0.0034837231505662203
253,0.04157524183392525
254,0.010696609504520893
255,0.0005374624161049724
256,0.000546485127415508
257,0.06376604735851288
258,0.002614235505461693
259,0.006789634004235268
260,0.0339706651866436
261,0.34124064445495605
262,0.0018816322553902864
263,0.01498740166425705
264,0.00927435327321291
265,0.004255600739270449
266,0.005629762541502714
267,0.01146230660378933
268,0.0017608677735552192
269,0.0015066262567415833
270,0.026687411591410637
271,0.020862648263573647
272,0.22936281561851501
273,0.10060746222734451
274,0.012170886620879173
275,0.041550952941179276
276,0.075266994535923
277,0.012669485993683338
278,0.0013954375172033906
279,0.016876867040991783
280,0.0028847702778875828
281,0.0011081749107688665
282,0.004053398035466671
283,0.21494263410568237
284,0.1319776177406311
285,0.009321512654423714
286,0.10852096974849701
287,0.053646400570869446
288,0.00039553610258735716
289,0.0004112169553991407
290,0.004945406224578619
291,0.02486739680171013
292,0.02498398907482624
293,0.06808292120695114
294,0.006922523956745863
295,0.018351420760154724
296,0.03433379530906677
297,0.005806720349937677
298,0.0012181748170405626
299,0.03300471231341362
300,0.0011778536718338728
301,0.003874372923746705
302,0.5460383296012878
303,0.6261759996414185
304,0.021765662357211113
305,0.06645113229751587
306,0.004179056733846664
307,0.14078493416309357
308,0.006369034759700298
309,0.012431749142706394
310,0.0035296438727527857
311,0.006307314150035381
