,SB
300,0.00010643268615240231
301,0.0004739772411994636
302,5.418183354777284e-05
303,7.520418421336217e-06
304,5.0838161769206636e-06
305,5.868358243787952e-08
306,6.422315345844254e-05
307,7.544464892816904e-07
308,0.0015724009135738015
309,0.00038999851676635444
310,5.910034815315157e-05
311,1.5965207467161235e-06
312,4.29578449256951e-07
313,2.3118381875519844e-08
314,3.209784438240604e-07
315,1.2770867385825113e-07
316,3.712735008321033e-07
317,1.0602192901387752e-07
318,1.1717055485860328e-06
319,0.003378969384357333
320,0.0011072003981098533
321,2.4992033331727725e-07
322,1.9383708149689483e-06
323,0.0005846606218256056
324,0.02025299333035946
325,0.0003001695149578154
326,3.1311285511037568e-06
327,9.874912211671472e-05
328,3.2078212086616986e-08
329,0.0009082978940568864
330,3.3179519132175983e-09
331,3.2662097737556905e-07
332,0.0005971793434582651
333,1.3664806601809687e-06
334,7.094304237398319e-06
335,0.00021310820011422038
336,1.0667961305443896e-06
337,2.036635304847323e-09
338,1.2231671462359373e-06
339,2.3223080916068284e-06
340,0.0015094501432031393
341,7.037075192783959e-06
342,0.026167793199419975
343,7.656987691007089e-06
344,7.56419016312293e-09
345,2.3732219744942995e-07
346,2.2166761937114643e-06
347,1.114670612878399e-05
348,3.6826001803547115e-08
349,2.124204314668532e-07
350,5.83118435315555e-07
351,1.0465425930306083e-06
352,3.7451508561048286e-10
353,1.911453040293054e-07
354,2.3315528778766748e-06
355,9.580762849736857e-09
356,1.923249783430947e-06
357,4.762772277899785e-06
358,2.219661155322683e-06
359,2.2459820669951114e-08
360,3.184884917573072e-05
361,4.270696081221104e-05
362,1.0772357939003996e-07
363,4.7347530198749155e-06
364,5.797849553346168e-06
365,5.81111834208059e-08
366,7.941689972312815e-08
367,1.9649453619763335e-08
368,0.0004986157291568816
369,2.556097570050042e-05
370,4.135415565542644e-08
371,6.239231879590079e-06
372,0.0007940980140119791
373,7.921233918750659e-05
374,1.015885118249571e-06
375,6.466901680823867e-08
376,2.3429786111250905e-08
377,0.0004995185881853104
378,1.148618230217835e-05
379,1.9335225260874722e-06
380,0.00014842147356830537
381,5.482019332703203e-05
382,3.358805011899335e-09
383,4.58494150734623e-06
384,1.0172504971706076e-07
385,1.5709147191955708e-06
386,1.6115639027702855e-06
387,0.0003259250952396542
388,0.0001169351307908073
389,3.6174307751934975e-05
390,2.0737606973852962e-05
391,7.032056714706414e-08
392,2.9851005223235916e-08
393,0.0002619451261125505
394,0.0006433202652260661
395,1.053142113960348e-05
396,2.2854974304209463e-06
397,8.430340585618978e-07
398,5.280372079141671e-06
399,6.130665860837325e-05
400,1.3482903682415781e-08
401,1.930958433149499e-07
402,6.562216640304541e-06
403,9.260679689759854e-06
404,0.0026996007654815912
405,0.000154542489326559
406,0.000219352325075306
407,2.3922049763314135e-07
408,4.557353531708941e-05
409,2.0494579189289652e-07
410,0.00026192140649072826
411,0.13405843079090118
412,1.2522447832452599e-05
413,1.280922816704333e-07
414,2.570377688471126e-09
415,0.00015170214464887977
416,5.8034787798533216e-05
417,3.0820012852927903e-07
418,4.0303375499206595e-06
419,9.019167919177562e-06
420,3.145778100588359e-05
421,1.9248781768510526e-07
422,6.167488919572861e-08
423,2.2503356376546435e-05
424,1.0572870223768405e-07
425,2.2673405908335553e-07
426,8.458498257368774e-08
427,3.2455475320603e-06
428,1.3052492249698844e-05
429,0.027938710525631905
430,5.393031096900813e-05
431,5.52247627183533e-07
432,0.00018698374333325773
433,1.1418657095418894e-06
434,2.8575107080541784e-07
435,0.0002837512001860887
436,0.0003363188880030066
437,3.3622214345996326e-07
438,5.1844114778987205e-08
439,0.0003830431087408215
440,4.047421953146113e-07
441,0.0001299195719184354
442,2.1179143914196175e-06
443,0.0049712080508470535
444,0.027887295931577682
445,0.0011317514581605792
446,6.555051368195564e-05
447,4.950088623445481e-07
448,1.6965264876489528e-05
449,0.0004448039981070906
450,3.035423246089408e-09
451,2.0177099102625107e-08
452,5.412661607806513e-07
453,3.039375684465995e-08
454,2.4061138901743107e-05
455,6.059118984325096e-09
456,0.006041737738996744
457,0.0002720501215662807
458,0.00044354464625939727
459,3.4010549825325143e-06
460,8.720448363419564e-07
461,1.0613088306854479e-05
462,0.0020874319598078728
463,2.8204354748595506e-05
464,2.4783489607216325e-06
465,1.2002132621091732e-07
466,4.501512052001999e-08
467,1.02602134575136e-05
468,0.004529501777142286
469,2.3904991053314006e-07
470,1.940206675499212e-05
471,0.0012470304500311613
472,3.5278091559121094e-08
473,7.54681082071329e-07
474,0.007804807275533676
475,0.0007195925572887063
476,1.8825798179022968e-05
477,0.0022699134424328804
478,0.00017258949810639024
479,1.8737002847046824e-06
480,5.275152034300845e-06
481,0.000864009780343622
482,3.1628480883227894e-06
483,6.144809958641417e-06
484,1.3183844203012995e-06
485,2.268953267048346e-06
486,0.001115056686103344
487,9.787777344172355e-06
488,1.7223917893716134e-05
489,3.8417299947468564e-05
490,4.8239353418466635e-06
491,1.3481765392953093e-07
492,1.0323411515855696e-05
493,2.0368501552070484e-08
494,1.0232006353305678e-08
495,1.243850533683144e-08
496,1.8735314370132983e-05
497,0.0346088781952858
498,8.8515935203759e-07
499,4.2478916384425247e-07
500,3.611525971791707e-05
501,1.8010695157499867e-06
502,0.001728465431369841
503,0.0013479505432769656
504,0.00010152827599085867
505,8.865026757121086e-05
506,0.014601490460336208
507,1.7552994791003584e-07
508,2.6415120828460203e-06
509,2.2751490291739174e-07
510,2.8412134724931093e-06
511,2.7436433356342604e-06
512,0.00016977605991996825
513,0.0004499057540670037
514,2.0805713575100526e-05
515,5.794969638373004e-06
516,1.687611643319542e-06
517,0.0001602089178049937
518,9.310962013842072e-06
519,5.295715527608991e-05
520,1.7412743545719422e-05
521,3.8682665035594255e-05
522,7.876859164923644e-10
523,0.0013560127699747682
524,0.00017274510173592716
525,1.957618042069953e-05
526,6.631630822084844e-05
527,9.141187547356822e-06
528,1.0253501869783577e-07
529,9.753696303960169e-07
530,5.754003268521046e-06
531,0.0005557566182687879
532,4.741856628243113e-06
533,2.3404549409633546e-08
534,3.252263559261337e-05
535,7.1726058195054065e-06
536,1.4977531437310176e-09
537,8.358020409104938e-07
538,8.205203812394757e-06
539,1.4781816162212635e-06
540,0.0002503479481674731
541,0.0012559565948322415
542,0.0005116926040500402
543,7.106763860065257e-06
544,6.691213638987392e-05
545,8.506469839630881e-08
546,0.0026628277264535427
547,1.24313669402909e-06
548,4.624728333624262e-08
549,0.0003773646894842386
550,4.036303236087946e-10
551,0.0005773326847702265
552,0.0005419332883320749
553,5.319905653777823e-07
554,6.327680921458523e-07
555,4.021255881525576e-05
556,7.406720214930829e-08
557,9.276369382860139e-06
558,1.092958791559795e-05
559,0.00010461565398145467
560,0.0013201157562434673
561,5.466417405841639e-06
562,0.0006361968698911369
563,2.4782909235909756e-07
564,3.5649411529448116e-06
565,0.0001544823608128354
