,rank
1092,5
1093,5
1094,6
1095,6
1096,5
1097,4
1098,4
1099,7
1100,6
1101,15
1102,7
1103,7
1104,20
1105,9
1106,3
1107,6
1108,7
1109,11
1110,7
1111,6
1112,6
1113,7
1114,10
1115,6
1116,7
1117,5
1118,14
1119,5
1120,6
1121,6
1122,4
1123,12
1124,11
1125,50
1126,6
1127,11
1128,3
1129,8
1130,7
1131,10
1132,6
1133,15
1134,10
1135,4
1136,5
1137,4
1138,2
1139,17
1140,6
1141,6
1142,10
1143,3
1144,6
1145,9
1146,11
1147,8
1148,18
1149,5
1150,24
1151,5
1152,5
1153,4
1154,8
1155,8
1156,6
1157,5
1158,8
1159,17
1160,3
1161,3
1162,11
1163,7
1164,5
1165,8
1166,16
1167,7
1168,25
1169,24
1170,10
1171,11
1172,9
1173,8
1174,6
1175,5
1176,8
1177,7
1178,5
1179,14
1180,5
1181,12
1182,10
1183,11
1184,12
1185,9
1186,6
1187,7
1188,8
1189,10
1190,7
1191,9
1192,7
1193,8
1194,7
1195,5
1196,9
1197,5
1198,10
1199,5
1200,4
1201,5
1202,5
1203,5
1204,33
1205,10
1206,5
1207,6
1208,3
1209,8
1210,3
1211,5
1212,15
1213,6
1214,5
1215,9
1216,6
1217,5
1218,10
1219,19
1220,11
1221,5
1222,11
1223,6
1224,10
1225,7
1226,12
1227,22
1228,9
1229,6
1230,5
1231,6
1232,9
1233,8
1234,8
1235,7
1236,15
1237,5
1238,10
1239,7
1240,3
1241,5
1242,16
1243,6
1244,6
1245,9
1246,10
1247,18
1248,13
1249,6
1250,6
1251,21
1252,8
1253,8
1254,2
1255,22
1256,11
1257,5
1258,5
1259,70
1260,6
1261,9
1262,7
1263,9
1264,11
1265,2
1266,10
1267,8
1268,6
1269,10
1270,7
1271,5
1272,12
1273,13
1274,9
1275,17
1276,10
1277,8
1278,6
1279,4
1280,6
1281,12
1282,11
1283,7
1284,5
1285,14
1286,8
1287,7
1288,10
1289,13
1290,6
1291,6
1292,7
1293,5
1294,3
1295,5
1296,3
1297,5
1298,11
1299,7
1300,8
1301,6
1302,6
1303,8
1304,5
1305,27
1306,7
1307,13
1308,12
1309,6
1310,24
1311,8
1312,9
1313,6
1314,10
1315,6
1316,9
1317,6
1318,6
1319,5
1320,10
1321,9
1322,16
1323,7
1324,3
1325,6
1326,6
1327,10
1328,10
1329,8
1330,9
1331,6
1332,8
1333,5
1334,11
1335,13
1336,5
1337,6
1338,17
1339,6
1340,11
1341,6
1342,10
1343,7
1344,6
1345,17
1346,9
1347,9
1348,9
1349,8
1350,6
1351,5
1352,5
1353,12
1354,9
1355,6
1356,15
1357,13
1358,7
1359,12
1360,11
1361,20
1362,6
1363,3
1364,4
1365,3
1366,5
1367,10
1368,24
1369,5
1370,19
1371,16
1372,7
1373,2
1374,12
1375,6
1376,3
1377,6
1378,6
1379,5
1380,8
1381,5
1382,13
1383,6
1384,13
1385,9
1386,8
1387,8
1388,12
1389,43
1390,11
1391,5
1392,5
1393,6
1394,5
1395,5
1396,5
1397,23
1398,6
1399,7
1400,12
1401,7
1402,12
1403,5
1404,9
1405,9
1406,13
1407,10
1408,5
1409,8
1410,18
1411,8
1412,5
1413,6
1414,4
1415,3
1416,11
1417,4
1418,4
1419,3
1420,5
1421,12
1422,2
1423,14
1424,7
1425,4
1426,8
1427,6
1428,6
1429,10
1430,3
1431,12
1432,3
1433,9
1434,9
1435,5
1436,16
1437,3
1438,5
1439,31
1440,9
1441,6
1442,28
1443,9
1444,29
1445,6
1446,17
1447,7
1448,3
1449,10
1450,12
1451,5
1452,3
1453,5
1454,5
1455,9
1456,4
1457,10
1458,8
1459,15
1460,9
1461,5
1462,8
1463,5
1464,6
1465,7
1466,6
1467,12
1468,5
1469,6
1470,8
1471,12
1472,5
1473,18
1474,13
1475,8
1476,7
1477,5
1478,8
1479,6
1480,16
1481,7
1482,12
1483,5
1484,7
1485,12
1486,12
1487,11
1488,8
1489,9
1490,18
1491,5
1492,17
1493,7
1494,6
1495,6
1496,6
1497,12
1498,8
1499,8
1500,8
1501,7
1502,4
1503,6
1504,6
1505,31
1506,21
1507,8
1508,6
1509,14
1510,3
1511,10
1512,9
1513,14
1514,8
1515,7
1516,6
1517,12
1518,9
1519,13
1520,5
1521,9
1522,8
1523,5
1524,7
1525,16
1526,16
1527,11
1528,4
1529,4
1530,5
1531,6
1532,12
1533,6
1534,9
1535,8
1536,8
1537,14
1538,6
1539,8
1540,7
1541,12
1542,5
1543,9
1544,8
1545,14
1546,6
1547,4
1548,6
1549,13
1550,6
1551,5
1552,8
1553,6
1554,5
1555,6
1556,9
1557,16
1558,5
1559,4
1560,5
1561,14
1562,10
1563,19
1564,3
1565,5
1566,6
1567,5
1568,9
1569,6
1570,7
1571,6
1572,18
1573,13
1574,10
1575,9
1576,13
1577,6
1578,6
1579,9
1580,6
1581,7
1582,35
1583,14
1584,6
1585,8
1586,8
1587,19
1588,12
1589,8
1590,9
1591,5
1592,7
1593,8
1594,13
1595,12
1596,23
1597,5
1598,7
1599,12
1600,8
1601,18
1602,3
1603,6
1604,9
1605,8
1606,10
1607,12
1608,10
1609,10
1610,8
1611,7
1612,5
1613,12
1614,8
1615,4
1616,5
1617,11
1618,9
1619,5
1620,9
1621,6
1622,9
1623,5
1624,6
1625,6
1626,7
1627,18
1628,3
1629,7
1630,37
1631,8
1632,10
1633,7
1634,8
1635,5
1636,2
1637,7
1638,7
1639,6
1640,15
1641,12
1642,23
1643,13
1644,11
1645,5
1646,5
1647,14
1648,6
1649,12
1650,5
