,SB
183,0.007095289416611195
184,2.938603938673623e-05
185,6.293509795796126e-05
186,0.030263014137744904
187,0.0005017066141590476
188,5.542533926927717e-06
189,6.451111403293908e-05
190,0.003768561640754342
191,0.002229714533314109
192,0.001478205667808652
193,1.6242407809841097e-06
194,0.0003878032439388335
195,0.0001125334165408276
196,0.0003879556606989354
197,2.6666421035770327e-05
198,3.5522703001333866e-07
199,5.52143092136248e-06
200,0.0001258216507267207
201,0.002057230332866311
202,2.1114477931405418e-05
203,2.9653905585291795e-05
204,0.001802731421776116
205,0.00012582428462337703
206,0.003084977623075247
207,6.627306720474735e-05
208,0.016784029081463814
209,1.4378650803337223e-07
210,0.00012477619748096913
211,3.7739940239589487e-07
212,0.017245376482605934
213,2.271611083415337e-05
214,0.031703297048807144
215,1.662207614572253e-05
216,0.00041114166378974915
217,0.000835987098980695
218,8.163835445884615e-06
219,9.744771523401141e-05
220,4.428043212101329e-06
221,0.00027572462568059564
222,1.823544721446524e-06
223,7.90665581007488e-06
224,7.443865115419612e-07
225,0.000565159774851054
226,3.3379083941298404e-09
227,2.8947420105396304e-07
228,0.0007132634054869413
229,0.001189469126984477
230,0.0006489173392765224
231,0.0013012081617489457
232,0.0010440166806802154
233,0.00031065812800079584
234,1.3652510233441717e-06
235,0.0031874433625489473
236,6.122245395090431e-07
237,0.000141459284350276
238,5.893683692193008e-07
239,0.0012177927419543266
240,0.0011149971978738904
241,0.00012475346738938242
242,0.0016589913284406066
243,3.351752820890397e-05
244,2.7595451257411696e-08
245,0.000370438996469602
246,0.0018865959718823433
247,0.1116037368774414
248,0.00040364867891184986
249,1.4951551747799385e-06
250,0.0005248439265415072
251,4.33808828859128e-08
252,0.0011189309880137444
253,0.009043681435286999
254,9.721741207613377e-07
255,0.00018283507961314172
256,1.893321496027056e-05
257,2.6660864023142494e-06
258,1.9389191947993822e-05
259,0.0001764435728546232
260,0.00023543124552816153
261,0.0007131130550988019
262,0.00011067406740039587
263,0.2427535206079483
264,0.004881176166236401
265,3.112730337306857e-05
266,6.440012839448173e-06
267,0.006410218775272369
268,6.579809996765107e-05
269,0.04755793511867523
270,0.009696755558252335
271,0.00013485862291418016
272,0.001942789531312883
273,3.3051335776690394e-05
274,0.0012966711074113846
275,1.774703741830308e-05
276,8.861176866048481e-06
277,0.0007308170897886157
278,3.1272072646970628e-06
279,0.02426196075975895
280,0.0005109217017889023
281,0.00010383162589278072
282,1.6155810953932814e-05
283,0.00023527727171313018
284,0.00041338862502016127
285,2.6634636469680117e-06
286,0.047891080379486084
287,2.100476012856234e-05
288,0.0001340171875199303
289,0.030532486736774445
290,1.7229833247256465e-05
291,1.5973606423358433e-05
292,2.8680959076154977e-05
293,3.5199389003537362e-06
294,0.0013931072317063808
295,0.001504266750998795
296,0.00023450421576853842
297,0.0007508340640924871
298,0.0007626303122378886
299,1.2390552001306787e-05
300,0.0004738152492791414
301,3.917783033102751e-06
302,3.946269498555921e-05
303,6.99640077073127e-05
304,5.563966624322347e-06
305,0.004399032797664404
306,0.0007350206724368036
307,8.06505122454837e-05
308,0.0015460617141798139
309,6.7673277044377755e-06
310,0.004930468741804361
311,2.8015563202643534e-06
312,2.306300075360923e-06
313,3.998088232037844e-06
314,4.312413147999905e-05
315,3.2545158319408074e-05
316,1.0865899639611598e-05
317,0.0006137645104900002
