,rank
1274,5
1275,4
1276,4
1277,3
1278,10
1279,6
1280,7
1281,7
1282,5
1283,5
1284,9
1285,7
1286,3
1287,3
1288,3
1289,11
1290,4
1291,2
1292,7
1293,8
1294,5
1295,5
1296,4
1297,9
1298,8
1299,8
1300,7
1301,2
1302,7
1303,4
1304,18
1305,7
1306,7
1307,8
1308,9
1309,7
1310,4
1311,6
1312,7
1313,7
1314,9
1315,6
1316,4
1317,8
1318,7
1319,7
1320,8
1321,6
1322,6
1323,7
1324,5
1325,2
1326,6
1327,8
1328,9
1329,1
1330,3
1331,6
1332,9
1333,6
1334,6
1335,2
1336,9
1337,7
1338,7
1339,7
1340,6
1341,9
1342,6
1343,8
1344,8
1345,3
1346,7
1347,2
1348,5
1349,5
1350,9
1351,9
1352,7
1353,4
1354,10
1355,8
1356,6
1357,5
1358,7
1359,6
1360,4
1361,4
1362,6
1363,8
1364,5
1365,6
1366,5
1367,6
1368,6
1369,7
1370,4
1371,8
1372,7
1373,6
1374,7
1375,9
1376,4
1377,9
1378,8
1379,6
1380,6
1381,5
1382,11
1383,5
1384,10
1385,7
1386,5
1387,4
1388,12
1389,11
1390,14
1391,17
1392,7
1393,11
1394,8
1395,10
1396,6
1397,4
1398,7
1399,5
1400,6
1401,6
1402,5
1403,1
1404,6
1405,8
1406,3
1407,4
1408,9
1409,8
1410,9
1411,7
1412,10
1413,7
1414,5
1415,9
1416,8
1417,8
1418,6
1419,3
1420,5
1421,7
1422,5
1423,5
1424,7
1425,4
1426,1
1427,2
1428,6
1429,8
1430,5
1431,9
1432,5
1433,5
1434,3
1435,4
1436,9
1437,6
1438,3
1439,5
1440,10
1441,8
1442,4
1443,3
1444,10
1445,6
1446,5
1447,6
1448,4
1449,4
1450,8
1451,11
1452,6
1453,3
1454,7
1455,7
1456,7
1457,6
1458,4
1459,5
1460,11
1461,6
1462,7
1463,9
1464,4
1465,4
1466,9
1467,14
1468,6
1469,8
1470,12
1471,7
1472,6
1473,7
1474,7
1475,4
1476,6
1477,6
1478,4
1479,10
1480,8
1481,3
1482,9
1483,6
1484,6
1485,10
1486,10
1487,16
1488,2
1489,7
1490,7
1491,5
1492,3
1493,4
1494,8
1495,7
1496,6
1497,9
1498,5
1499,7
1500,5
1501,11
1502,4
1503,4
1504,4
1505,9
1506,5
1507,5
1508,7
1509,7
1510,10
1511,5
1512,6
1513,7
1514,7
1515,6
1516,14
1517,8
1518,6
1519,3
1520,5
1521,8
1522,7
1523,3
1524,3
1525,7
1526,7
1527,8
1528,7
1529,4
1530,9
1531,5
1532,4
1533,8
1534,8
1535,8
1536,3
1537,10
1538,6
1539,3
1540,9
1541,4
1542,12
1543,5
1544,9
1545,7
1546,6
1547,7
1548,5
1549,2
1550,7
1551,5
1552,6
1553,6
1554,13
1555,7
1556,5
1557,6
1558,10
1559,7
1560,8
1561,3
1562,5
1563,6
1564,6
1565,6
1566,6
1567,7
1568,3
1569,3
1570,7
1571,7
1572,8
1573,7
1574,11
1575,2
1576,9
1577,8
1578,7
1579,2
1580,4
1581,6
1582,5
1583,6
1584,9
1585,6
1586,5
1587,8
1588,5
1589,6
1590,8
1591,4
1592,9
1593,6
1594,6
1595,7
1596,9
1597,3
1598,8
1599,7
1600,7
1601,6
1602,5
1603,6
1604,5
1605,3
1606,6
1607,4
1608,6
1609,7
1610,5
1611,5
1612,11
1613,4
1614,5
1615,5
1616,4
1617,5
1618,6
1619,8
1620,4
1621,11
1622,6
1623,6
1624,2
1625,7
1626,6
1627,6
1628,9
1629,2
1630,4
1631,5
1632,5
1633,4
1634,3
1635,5
1636,12
1637,4
1638,2
1639,9
1640,4
1641,5
1642,7
1643,5
1644,3
1645,7
1646,8
1647,9
1648,4
1649,8
1650,7
1651,8
1652,9
1653,8
1654,11
1655,6
1656,4
1657,6
1658,6
1659,5
1660,5
1661,4
1662,10
1663,4
1664,6
1665,7
1666,8
1667,10
1668,4
1669,11
1670,7
1671,7
1672,10
1673,6
1674,5
1675,6
1676,9
1677,6
1678,7
1679,5
1680,7
1681,4
1682,2
1683,6
1684,9
1685,6
1686,3
1687,6
1688,7
1689,12
1690,7
1691,5
1692,19
1693,8
1694,9
1695,3
1696,8
1697,3
1698,3
1699,5
1700,8
1701,7
1702,57
1703,5
1704,6
1705,6
1706,4
1707,10
1708,7
1709,3
1710,4
1711,5
1712,5
1713,7
1714,6
1715,7
1716,6
1717,11
1718,24
1719,2
1720,6
1721,5
1722,3
1723,2
1724,8
1725,6
1726,9
1727,6
1728,4
1729,5
1730,4
1731,1
1732,4
1733,4
1734,6
1735,3
1736,7
1737,13
1738,8
1739,7
1740,12
1741,4
1742,3
1743,7
1744,7
1745,6
1746,8
1747,3
1748,4
1749,4
1750,7
1751,7
1752,7
1753,18
1754,7
1755,4
1756,5
1757,7
1758,7
1759,5
1760,3
1761,10
1762,7
1763,7
1764,2
1765,4
1766,7
1767,6
1768,5
1769,10
1770,12
1771,4
1772,2
1773,6
1774,2
1775,4
1776,5
1777,9
1778,4
1779,7
1780,9
1781,3
1782,6
1783,7
1784,6
1785,4
1786,8
1787,8
1788,4
1789,5
1790,8
1791,4
1792,7
1793,7
1794,13
1795,9
1796,8
1797,6
1798,9
1799,5
1800,6
1801,7
1802,8
1803,5
1804,7
1805,7
1806,7
1807,9
1808,5
1809,5
1810,3
1811,8
1812,8
1813,5
1814,6
1815,3
1816,7
1817,4
1818,7
1819,7
1820,3
1821,9
1822,7
1823,7
1824,5
1825,6
1826,5
1827,4
1828,7
1829,5
1830,9
1831,5
1832,7
1833,7
1834,2
1835,5
1836,4
1837,7
1838,8
1839,4
1840,8
1841,4
1842,5
1843,4
1844,6
1845,7
1846,5
1847,4
1848,7
1849,8
1850,2
1851,5
1852,5
1853,4
1854,5
1855,11
1856,6
1857,10
1858,6
1859,9
1860,4
1861,5
1862,4
1863,12
1864,10
1865,3
1866,7
1867,9
1868,7
1869,7
1870,6
1871,2
1872,6
1873,10
1874,8
1875,6
1876,6
1877,9
1878,8
1879,3
1880,4
1881,7
1882,5
1883,7
1884,7
1885,3
1886,6
1887,2
1888,15
1889,2
1890,7
1891,8
1892,4
1893,11
1894,8
1895,2
1896,10
1897,6
1898,9
1899,8
1900,9
1901,3
1902,8
1903,19
1904,4
1905,5
1906,7
1907,7
1908,5
1909,8
1910,7
1911,6
1912,2
1913,7
1914,3
1915,10
1916,8
1917,2
1918,7
1919,9
1920,6
1921,5
1922,6
1923,5
1924,9
1925,11
1926,5
1927,9
1928,4
1929,6
1930,7
1931,7
1932,3
1933,8
1934,8
1935,7
1936,10
1937,9
1938,4
1939,7
1940,4
1941,5
1942,9
1943,7
1944,6
1945,10
1946,9
1947,7
1948,7
1949,8
1950,14
1951,6
1952,7
1953,4
1954,6
1955,7
1956,10
1957,6
1958,10
1959,5
1960,9
1961,9
1962,3
1963,7
1964,4
1965,7
1966,5
1967,6
1968,6
1969,6
1970,3
1971,7
1972,4
1973,7
1974,5
1975,7
1976,3
1977,7
1978,21
1979,4
1980,6
1981,10
1982,5
1983,10
1984,6
1985,3
1986,6
1987,4
1988,5
1989,4
1990,4
1991,4
1992,5
1993,9
1994,5
1995,6
1996,10
1997,7
1998,7
1999,5
2000,9
2001,6
2002,6
2003,5
2004,3
2005,5
2006,8
2007,9
2008,9
2009,9
2010,4
2011,4
2012,5
2013,7
2014,7
2015,6
2016,5
2017,6
2018,6
2019,9
2020,2
2021,6
2022,5
2023,7
2024,5
2025,4
2026,6
2027,7
2028,6
2029,3
2030,8
2031,9
2032,7
2033,8
2034,6
2035,4
2036,4
2037,4
2038,4
2039,7
2040,7
2041,7
2042,7
2043,6
2044,8
2045,6
2046,8
2047,5
2048,7
2049,6
2050,5
2051,4
2052,5
2053,18
2054,7
2055,2
2056,5
2057,3
2058,9
2059,7
2060,8
2061,8
2062,7
2063,7
2064,9
2065,5
2066,5
2067,6
2068,7
2069,8
2070,6
2071,7
2072,7
2073,5
2074,5
2075,6
2076,7
2077,4
2078,6
2079,4
2080,5
2081,11
2082,3
2083,9
2084,2
2085,4
2086,4
2087,5
