target_lang,donor_lang,atds
punjabi,hindi-clustered911,0.657
punjabi,hindi-clustered513,0.657
punjabi,hindi-clustered787,0.657
punjabi,hindi-clustered466,0.657
punjabi,hindi-clustered915,0.657
punjabi,hindi-clustered977,0.657
punjabi,hindi-clustered528,0.656
punjabi,hindi-clustered302,0.656
punjabi,hindi-clustered419,0.656
punjabi,hindi-clustered476,0.656
punjabi,hindi-clustered412,0.656
punjabi,hindi-clustered522,0.656
punjabi,hindi-clustered728,0.656
punjabi,hindi-clustered985,0.656
punjabi,hindi-clustered715,0.656
punjabi,hindi-clustered334,0.656
punjabi,hindi-clustered676,0.656
punjabi,hindi-clustered770,0.656
punjabi,hindi-clustered138,0.656
punjabi,hindi-clustered779,0.656
punjabi,hindi-clustered67,0.656
punjabi,hindi-clustered724,0.656
punjabi,hindi-clustered24,0.656
punjabi,hindi-clustered669,0.655
punjabi,hindi-clustered499,0.655
punjabi,hindi-clustered835,0.655
punjabi,hindi-clustered430,0.655
punjabi,hindi-clustered450,0.655
punjabi,hindi-clustered950,0.655
punjabi,hindi-clustered208,0.655
punjabi,hindi-clustered836,0.655
punjabi,hindi-clustered905,0.655
punjabi,hindi-clustered204,0.655
punjabi,hindi-clustered719,0.655
punjabi,hindi-clustered992,0.655
punjabi,hindi-clustered796,0.654
punjabi,hindi-clustered646,0.654
punjabi,hindi-clustered495,0.654
punjabi,hindi-clustered119,0.654
punjabi,hindi-clustered469,0.654
punjabi,hindi-clustered556,0.654
punjabi,hindi-clustered376,0.654
punjabi,hindi-clustered681,0.654
punjabi,hindi-clustered248,0.654
punjabi,hindi-clustered845,0.654
punjabi,hindi-clustered662,0.654
punjabi,hindi-clustered902,0.654
punjabi,hindi-clustered276,0.654
punjabi,hindi-clustered414,0.654
punjabi,hindi-clustered223,0.654
punjabi,hindi-clustered120,0.654
punjabi,hindi-clustered400,0.653
punjabi,hindi-clustered364,0.653
punjabi,hindi-clustered260,0.653
punjabi,hindi-clustered652,0.653
punjabi,hindi-clustered923,0.653
punjabi,hindi-clustered535,0.653
punjabi,hindi-clustered239,0.653
punjabi,hindi-clustered745,0.653
punjabi,hindi-clustered340,0.653
punjabi,hindi-clustered285,0.653
punjabi,hindi-clustered569,0.652
punjabi,hindi-clustered798,0.652
punjabi,hindi-clustered390,0.652
punjabi,hindi-clustered282,0.652
punjabi,hindi-clustered351,0.652
punjabi,hindi-clustered45,0.652
punjabi,hindi-clustered582,0.652
punjabi,hindi-clustered433,0.652
punjabi,hindi-clustered996,0.652
punjabi,hindi-clustered730,0.652
punjabi,hindi-clustered934,0.652
punjabi,hindi-clustered174,0.652
punjabi,hindi-clustered397,0.651
punjabi,hindi-clustered7,0.651
punjabi,hindi-clustered91,0.651
punjabi,hindi-clustered157,0.651
punjabi,hindi-clustered320,0.651
punjabi,hindi-clustered714,0.651
punjabi,hindi-clustered179,0.651
punjabi,hindi-clustered684,0.651
punjabi,hindi-clustered463,0.651
punjabi,hindi-clustered534,0.651
punjabi,hindi-clustered729,0.65
punjabi,hindi-clustered278,0.65
punjabi,hindi-clustered160,0.65
punjabi,hindi-clustered198,0.65
punjabi,hindi-clustered211,0.65
punjabi,hindi-clustered579,0.65
punjabi,hindi-clustered825,0.65
punjabi,hindi-clustered165,0.65
punjabi,hindi-clustered973,0.65
punjabi,hindi-clustered95,0.65
punjabi,hindi-clustered659,0.65
punjabi,hindi-clustered473,0.649
punjabi,hindi-clustered48,0.649
punjabi,hindi-clustered685,0.649
punjabi,hindi-clustered688,0.649
punjabi,hindi-clustered635,0.649
punjabi,hindi-clustered962,0.649
punjabi,hindi-clustered744,0.649
punjabi,hindi-clustered148,0.649
punjabi,hindi-clustered998,0.649
punjabi,hindi-clustered492,0.649
punjabi,hindi-clustered595,0.649
punjabi,hindi-clustered884,0.649
punjabi,hindi-clustered562,0.649
punjabi,hindi-clustered803,0.649
punjabi,hindi-clustered149,0.649
punjabi,hindi-clustered1,0.649
punjabi,hindi-clustered70,0.648
punjabi,hindi-clustered632,0.648
punjabi,hindi-clustered954,0.648
punjabi,hindi-clustered490,0.648
punjabi,hindi-clustered316,0.648
punjabi,hindi-clustered109,0.648
punjabi,hindi-clustered620,0.648
punjabi,hindi-clustered887,0.648
punjabi,hindi-clustered636,0.648
punjabi,hindi-clustered868,0.648
punjabi,hindi-clustered642,0.648
punjabi,hindi-clustered244,0.648
punjabi,hindi-clustered750,0.648
punjabi,hindi-clustered792,0.648
punjabi,hindi-clustered830,0.648
punjabi,hindi-clustered96,0.647
punjabi,hindi-clustered94,0.647
punjabi,hindi-clustered488,0.647
punjabi,hindi-clustered137,0.647
punjabi,hindi-clustered938,0.647
punjabi,hindi-clustered32,0.647
punjabi,hindi-clustered559,0.647
punjabi,hindi-clustered514,0.647
punjabi,hindi-clustered737,0.647
punjabi,hindi-clustered749,0.647
punjabi,hindi-clustered840,0.647
punjabi,hindi-clustered265,0.646
punjabi,hindi-clustered810,0.646
punjabi,hindi-clustered781,0.646
punjabi,hindi-clustered291,0.646
punjabi,hindi-clustered162,0.646
punjabi,hindi-clustered944,0.646
punjabi,hindi-clustered829,0.646
